sample_name	cage	collection_date	collection_timestamp	comments_2022_05_31	country	description	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env_biome	env_feature	env_material	env_package	geo_loc_name	host_autopsy	host_body_habitat	host_body_product	host_body_site	host_common_name	host_genotype	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_2022_05_11	host_weight_2022_05_11_units	host_weight_2022_05_18	host_weight_2022_05_18_units	host_weight_2022_05_24	host_weight_2022_05_24_units	host_weight_2022_05_31	host_weight_2022_05_31_units	host_weight_2022_06_01	host_weight_2022_06_01_units	host_weight_2022_06_02	host_weight_2022_06_02_units	host_weight_2022_06_07	host_weight_2022_06_07_units	host_weight_2022_06_14	host_weight_2022_06_14_units	host_weight_2022_06_21	host_weight_2022_06_21_units	host_weight_units	latitude	longitude	mouse_label	physical_specimen_location	physical_specimen_remaining	qiita_sample_type	sample_type	scientific_name	taxon_id	timestamp_flashtreatment	timestamp_treatment	timestamp_tumorinjection	treatment	tumor_cellline	tumor_volume_2022_05_26	tumor_volume_2022_05_26_units	tumor_volume_2022_05_31	tumor_volume_2022_05_31_units	tumor_volume_2022_06_02	tumor_volume_2022_06_02_units	tumor_volume_2022_06_07	tumor_volume_2022_06_07_units	tumor_volume_2022_06_09	tumor_volume_2022_06_09_units	tumor_volume_2022_06_13	tumor_volume_2022_06_13_units	tumor_volume_2022_06_15	tumor_volume_2022_06_15_units	tumor_volume_2022_06_17	tumor_volume_2022_06_17_units	tumor_volume_2022_06_20	tumor_volume_2022_06_20_units	tumor_volume_2022_06_24	tumor_volume_2022_06_24_units	zymo_custom_label
6.15299.zr5156.10V3V4	R1C3	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	2 Metastasis in Ling	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	37	10090	18.8	18.8	grams	19.9	grams	19.7	grams	21	grams	not collected	grams	not collected	grams	21.7	grams	23.4	grams	23.1	grams	grams	8.677660635	49.93039264	1 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Control	osteosarcoma cells LM8	108.8	cubic_millimeters	202.14	cubic_millimeters	122.9	cubic_millimeters	355.87	cubic_millimeters	193.21	cubic_millimeters	404.43	cubic_millimeters	225.94	cubic_millimeters	307.72	cubic_millimeters	598.69	cubic_millimeters	758.31	cubic_millimeters	12
6.15299.zr5156.11V3V4	R1C3	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	No Metastasis	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	38	10090	19.6	19.6	grams	21.2	grams	21.6	grams	20.7	grams	not collected	grams	not collected	grams	21.2	grams	23.4	grams	22.8	grams	grams	8.677660635	49.93039264	1 Rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Control +CD133	osteosarcoma cells LM8	155.74	cubic_millimeters	205.15	cubic_millimeters	192.87	cubic_millimeters	260.46	cubic_millimeters	231.28	cubic_millimeters	363.82	cubic_millimeters	435.2	cubic_millimeters	334.93	cubic_millimeters	460.53	cubic_millimeters	not collected	cubic_millimeters	13
6.15299.zr5156.12V3V4	R1C3	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	39	10090	18.8	18.8	grams	20.8	grams	20.5	grams	22.1	grams	not collected	grams	not collected	grams	21.7	grams	21.7	grams	21.6	grams	grams	8.677660635	49.93039264	2 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Control +CD133	osteosarcoma cells LM8	176.87	cubic_millimeters	102.76	cubic_millimeters	219.75	cubic_millimeters	191.59	cubic_millimeters	190.12	cubic_millimeters	340.03	cubic_millimeters	376.11	cubic_millimeters	230.79	cubic_millimeters	376.8	cubic_millimeters	not collected	cubic_millimeters	14
6.15299.zr5156.13V3V4	R1C3	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	Big Tumour intestine	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	40	10090	18.8	18.8	grams	20.6	grams	20.5	grams	22.3	grams	not collected	grams	not collected	grams	22.1	grams	23.1	grams	23	grams	grams	8.677660635	49.93039264	1 Links 1 rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Control +CD133	osteosarcoma cells LM8	156.06	cubic_millimeters	205.73	cubic_millimeters	281.13	cubic_millimeters	281.13	cubic_millimeters	326.98	cubic_millimeters	553.1	cubic_millimeters	546.34	cubic_millimeters	551.07	cubic_millimeters	706.5	cubic_millimeters	not collected	cubic_millimeters	15
6.15299.zr5156.14V3V4	R1C4	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	Tumour more bony	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	42	10090	17.6	17.6	grams	20	grams	19.7	grams	19.6	grams	not collected	grams	not collected	grams	21.4	grams	21.2	grams	22.9	grams	grams	8.677660635	49.93039264	1 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	194.26	cubic_millimeters	160.06	cubic_millimeters	131.35	cubic_millimeters	163.2	cubic_millimeters	142.87	cubic_millimeters	127.55	cubic_millimeters	164.85	cubic_millimeters	109.9	cubic_millimeters	131.88	cubic_millimeters	189.81	cubic_millimeters	16
6.15299.zr5156.15V3V4	R1C4	2022	2022	booster_diet	Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	3 Metastasis	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	43	10090	20	20	grams	21.2	grams	21.8	grams	18.9	grams	19.2	grams	21.5	grams	22.4	grams	24	grams	24.3	grams	grams	8.677660635	49.93039264	1 Rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	146.53	cubic_millimeters	164.6	cubic_millimeters	162.81	cubic_millimeters	131.08	cubic_millimeters	105.69	cubic_millimeters	156.06	cubic_millimeters	78.5	cubic_millimeters	78.5	cubic_millimeters	131.88	cubic_millimeters	143.05	cubic_millimeters	17
6.15299.zr5156.16V3V4	R1C4	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	No Visible Tumour	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	44	10090	17.3	17.3	grams	18.9	grams	21	grams	20	grams	not collected	grams	not collected	grams	22.6	grams	21.8	grams	22.1	grams	grams	8.677660635	49.93039264	2 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	137.85	cubic_millimeters	169.56	cubic_millimeters	165.96	cubic_millimeters	65.42	cubic_millimeters	80.07	cubic_millimeters	65.42	cubic_millimeters	86.35	cubic_millimeters	65.42	cubic_millimeters	78.5	cubic_millimeters	not collected	cubic_millimeters	18
6.15299.zr5156.17V3V4	R1C4	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	-	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	45	10090	19.7	19.7	grams	21.1	grams	21.5	grams	20.9	grams	not collected	grams	not collected	grams	23.8	grams	22.9	grams	23.3	grams	grams	8.677660635	49.93039264	1 Links 1 rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	116.52	cubic_millimeters	173.64	cubic_millimeters	188.12	cubic_millimeters	153.73	cubic_millimeters	134.59	cubic_millimeters	257.17	cubic_millimeters	249.11	cubic_millimeters	175.84	cubic_millimeters	175.84	cubic_millimeters	142.5	cubic_millimeters	19
6.15299.zr5156.18V3V4	R1C5	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	46	10090	20.8	20.8	grams	22.8	grams	21.7	grams	21.7	grams	not collected	grams	not collected	grams	23.2	grams	23.5	grams	24.5	grams	grams	8.677660635	49.93039264	avg	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	105.35	cubic_millimeters	99.44	cubic_millimeters	158.93	cubic_millimeters	113.33	cubic_millimeters	114.13	cubic_millimeters	148.73	cubic_millimeters	156.65	cubic_millimeters	109.9	cubic_millimeters	109.9	cubic_millimeters	111.03	cubic_millimeters	20
6.15299.zr5156.19V3V4	R1C5	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	47	10090	17.6	17.6	grams	20.2	grams	21.1	grams	19.6	grams	not collected	grams	not collected	grams	22.5	grams	21.8	grams	23.2	grams	grams	8.677660635	49.93039264	1 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	85.11	cubic_millimeters	135.61	cubic_millimeters	118.88	cubic_millimeters	124.66	cubic_millimeters	86.35	cubic_millimeters	173.89	cubic_millimeters	157.47	cubic_millimeters	109.9	cubic_millimeters	87.92	cubic_millimeters	154.13	cubic_millimeters	21
